epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,val_refine_iters,val_decode_ar,seconds
1,0.9659607797960651,3293,val,400,0.355,0.2992125984251969,0.7007874015748031,1,True,76.96330094337463
2,0.4331645619586866,3293,val,400,0.4275,0.22138098122350092,0.7786190187764991,1,True,57.26844525337219
3,0.3067111660744186,3293,val,400,0.53,0.14233797698364628,0.8576620230163537,1,True,61.35639309883118
4,0.23208676613561838,3293,val,400,0.6575,0.08358570563294973,0.9164142943670502,1,True,59.93622183799744
5,0.19127181230744728,3293,val,400,0.735,0.06056935190793458,0.9394306480920654,1,True,63.400039196014404
6,0.15950498520205747,3293,val,400,0.7925,0.04512416717141127,0.9548758328285887,1,True,65.42917823791504
7,0.14886800260157199,3293,val,400,0.825,0.03755299818291944,0.9624470018170805,1,True,76.42492580413818
8,0.12634674203235655,3293,val,400,0.8425,0.03179890975166566,0.9682010902483343,1,True,67.7097716331482
9,0.10414810407190674,3293,val,400,0.85,0.028467595396729255,0.9715324046032707,1,True,56.18651795387268
10,0.0973562611939514,3293,val,400,0.87,0.025439127801332527,0.9745608721986675,1,True,71.4761734008789
11,0.09065372172167263,3293,val,400,0.8725,0.024530587522713507,0.9754694124772865,1,True,66.92205142974854
12,0.08340394968772745,3293,val,400,0.8775,0.02271350696547547,0.9772864930345245,1,True,62.1969997882843
13,0.07899646574759733,3293,val,400,0.8825,0.02271350696547547,0.9772864930345245,1,True,63.02011561393738
14,0.062444576627617,3293,val,400,0.89,0.02150211992731678,0.9784978800726832,1,True,65.62070655822754
15,0.05508490824252322,3293,val,400,0.895,0.020290732889158086,0.9797092671108419,1,True,54.868237257003784
16,0.05123799254751806,3293,val,400,0.8975,0.020290732889158086,0.9797092671108419,1,True,55.34160137176514
17,0.051074529487516354,3293,val,400,0.895,0.019987886129618413,0.9800121138703816,1,True,54.714375257492065
18,0.045083672856652386,3293,val,400,0.9,0.019382192610539067,0.9806178073894609,1,True,53.26308226585388
19,0.043538071952461566,3293,val,400,0.9125,0.016959418534221685,0.9830405814657783,1,True,48.23667764663696
20,0.0410592599022164,3293,val,400,0.9125,0.016959418534221685,0.9830405814657783,1,True,58.3234703540802
21,0.04451900970579922,3293,val,400,0.915,0.01635372501514234,0.9836462749848577,1,True,54.46167039871216
22,0.035439398550368206,3293,val,400,0.915,0.01665657177468201,0.983343428225318,1,True,46.211642026901245
23,0.036885052724667015,3293,val,400,0.92,0.01635372501514234,0.9836462749848577,1,True,50.17451214790344
24,0.040529410576947304,3293,val,400,0.92,0.015445184736523319,0.9845548152634767,1,True,46.262617111206055
25,0.03608642240226576,3293,val,400,0.9225,0.014839491217443974,0.985160508782556,1,True,46.28640103340149
26,0.029895042483868785,3293,val,400,0.925,0.013930950938824955,0.9860690490611751,1,True,46.81078267097473
27,0.028584093321256186,3293,val,400,0.925,0.014233797698364628,0.9857662023016354,1,True,46.66664242744446
28,0.02677173170521561,3293,val,400,0.9225,0.014233797698364628,0.9857662023016354,1,True,46.541500091552734
29,0.023308015151462393,3293,val,400,0.925,0.013930950938824955,0.9860690490611751,1,True,46.28152942657471
30,0.022693565663152775,3293,val,400,0.925,0.014233797698364628,0.9857662023016354,1,True,46.466394662857056
