epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,val_refine_iters,val_decode_ar,seconds
1,0.9850984414418539,3270,val,397,0.35768261964735515,0.29464012251148547,0.7053598774885146,1,True,50.35571098327637
2,0.45200715511581585,3270,val,397,0.4256926952141058,0.22817764165390506,0.7718223583460949,1,True,45.05499815940857
3,0.3088183026065885,3270,val,397,0.5566750629722922,0.13782542113323124,0.8621745788667687,1,True,44.15824866294861
4,0.22476602224490694,3270,val,397,0.6775818639798489,0.08392036753445635,0.9160796324655437,1,True,44.359028339385986
5,0.19119295612752255,3270,val,397,0.7405541561712846,0.061868300153139356,0.9381316998468606,1,True,43.78768849372864
6,0.16199755806259425,3270,val,397,0.7758186397984886,0.05114854517611026,0.9488514548238898,1,True,61.99308395385742
7,0.13333747265718035,3270,val,397,0.8085642317380353,0.04349157733537519,0.9565084226646248,1,True,63.31558394432068
8,0.10696406739818029,3270,val,397,0.8337531486146096,0.03614088820826952,0.9638591117917304,1,True,60.177762031555176
9,0.11181873642990439,3270,val,397,0.8463476070528967,0.032771822358346095,0.9672281776416539,1,True,55.84139537811279
10,0.09724250174717072,3270,val,397,0.8614609571788413,0.02450229709035222,0.9754977029096478,1,True,59.579416036605835
11,0.094169906590601,3270,val,397,0.8664987405541562,0.02450229709035222,0.9754977029096478,1,True,58.43267846107483
12,0.07598797203203954,3270,val,397,0.871536523929471,0.022358346094946403,0.9776416539050536,1,True,61.19331455230713
13,0.069348316443429,3270,val,397,0.8866498740554156,0.020520673813169986,0.97947932618683,1,True,59.35295248031616
14,0.061110633750665444,3270,val,397,0.889168765743073,0.019295558958652374,0.9807044410413476,1,True,61.860573053359985
15,0.062172692304403046,3270,val,397,0.8967254408060453,0.018376722817764167,0.9816232771822359,1,True,59.15012288093567
16,0.05277953302254188,3270,val,397,0.9017632241813602,0.01776416539050536,0.9822358346094946,1,True,58.05557441711426
17,0.057618605687257345,3270,val,397,0.9118387909319899,0.01653905053598775,0.9834609494640123,1,True,59.734761238098145
18,0.04557284792879488,3270,val,397,0.9143576826196473,0.016232771822358345,0.9837672281776416,1,True,67.37649726867676
19,0.04089846725088604,3270,val,397,0.9143576826196473,0.01653905053598775,0.9834609494640123,1,True,64.303138256073
20,0.04235143949610924,3270,val,397,0.9118387909319899,0.01776416539050536,0.9822358346094946,1,True,72.30048990249634
21,0.0354976344973259,3270,val,397,0.9168765743073047,0.015313935681470138,0.9846860643185299,1,True,64.92073464393616
22,0.03521921097298099,3270,val,397,0.9219143576826196,0.014701378254211332,0.9852986217457886,1,True,61.00200796127319
23,0.03441683093782953,3270,val,397,0.9193954659949622,0.015313935681470138,0.9846860643185299,1,True,56.15861439704895
24,0.0354995138161397,3270,val,397,0.9168765743073047,0.014701378254211332,0.9852986217457886,1,True,64.5735068321228
25,0.02380726401315324,3270,val,397,0.9193954659949622,0.015313935681470138,0.9846860643185299,1,True,65.73046517372131
26,0.02930819638691478,3270,val,397,0.9269521410579346,0.013782542113323124,0.9862174578866769,1,True,62.53436326980591
27,0.02790392710192169,3270,val,397,0.9219143576826196,0.015007656967840736,0.9849923430321592,1,True,63.762704372406006
28,0.026233241113938037,3270,val,397,0.9219143576826196,0.015007656967840736,0.9849923430321592,1,True,65.92513632774353
29,0.024936341619637398,3270,val,397,0.9219143576826196,0.014701378254211332,0.9852986217457886,1,True,64.0865216255188
30,0.025299953214186228,3270,val,397,0.924433249370277,0.01439509954058193,0.9856049004594181,1,True,63.90250015258789
